platform,platform_name,title_zh,title_en,title_ja,release_date,release_date_na,release_date_pal,publisher,wiki_url,publisher_wiki_url
FC,Family Computer,教育软体：面包超人的结束写背,Oeka Kids - Anpanman to Oekaki Shiyou!!,おえかキッズ アンパンマンとおえかきしよう!!,1990年10月25日,,,万代,,
FC,Family Computer,水岛新司大甲子园,Mizushima Shinji no Dai Koushien,水島新司の大甲子園,1990年10月26日,,,卡普空,,
FC,Family Computer,太阳电子棒球,Nantettatte!! Baseball,なんてったって!!ベースボール,1990年10月26日,,,Sun电子,,
FC,Family Computer,冲锋飞车,Astro Fang - Super Machine,アストロファング,1990年10月26日,,,A-WAVE,,
FC,Family Computer,帕青夫君3,Pachio Kun 3,パチ夫くん3 帰ってきたパチ夫くん,1990年10月26日,,,Coconuts Japan,,
FC,Family Computer,七龙珠Z 强袭！赛亚人,Dragon Ball Z - Kyoushuu! Saiya Jin,ドラゴンボールZ 強襲!サイヤ人,1990年10月27日,,,万代,https://zh.wikipedia.org/wiki/%E4%B8%83%E9%BE%99%E7%8F%A0Z_%E5%BC%BA%E8%A2%AD%EF%BC%81%E8%B5%9B%E4%BA%9A%E4%BA%BA,
FC,Family Computer,三国志II,Romance of the Three Kingdoms II,三國志II,1990年11月2日,,,光荣,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%9C%8B%E5%BF%97II,
FC,Family Computer,霹雳火,Cross Fire,クロスファイヤー,1990年11月2日,,,九娯贸易,,
FC,Family Computer,山村美纱悬疑系列：京都理财杀人事件,Yamamura Misa Suspense - Kyouto Zaiteku Satsujin Jiken,山村美紗サスペンス 京都財テク殺人事件,1990年11月2日,,,Hect,,
FC,Family Computer,最后的哈米吉多顿,Last Armageddon,ラストハルマゲドン,1990年11月10日,,,万代,https://zh.wikipedia.org/wiki/%E6%9C%80%E5%BE%8C%E7%9A%84%E5%93%88%E7%B1%B3%E5%90%89%E5%A4%9A%E9%A0%93,
FC,Family Computer,特库摩橄榄球,Tecmo Bowl,テクモボウル,1990年11月13日,,,特库摩,,
FC,Family Computer,动物方块/三立鸥嘉年华会,Sanrio Carnival,サンリオカーニバル,1990年11月22日,,,Character Soft,,
FC,Family Computer,男孩与泡泡怪,Fushigina Bloby - Blobania no Kiki,ふしぎなブロビー ブロバニアの危機,1990年11月29日,,,Jaleco,,
FC,Family Computer,疯狂大射击,Parodius da!,パロディウスだ!,1990年11月30日,,,科乐美,,
